DMS_id,feature_id,n_mutations,n_positions,mean_abs_change_high_activation,mean_abs_change_low_activation,intervention_effect_high_minus_low,mannwhitney_p,strength
TCRG1_MOUSE_Tsuboyama_2023_1E0L,7309,621,35,0.01972188434191808,0.017389430361603793,0.0023324539803142863,0.2540207010843343,1.0
YNZC_BACSU_Tsuboyama_2023_2JVD,6419,714,39,0.04798985400026017,0.025709483738172327,0.022280370262087845,0.004949237159467422,1.0
TCRG1_MOUSE_Tsuboyama_2023_1E0L,7168,621,35,0.06119924163992936,0.061073594314030984,0.0001256473258983773,0.497551561267828,1.0
